titulo_puesto,empresa,descripcion,modalidad,localidad,experiencia,tipoempleo,pais
Trabajo Desde Casa Cientifico de Datos Senior  Ref 0960S RD,ABBATANGELO LIONEL,BairesDev esta orgullosa de ser la compania de mas rapido crecimiento en America Con personal en cinco continentes y clientes de talla mundial somos tan fuertes como los equipos multiculturales en el corazon de nuestra empresa lo sean Con el fin de entregar a nuestros clientes soluciones de la mas alta calidad con consistencia unicamente contratamos al 1 mas destacado entre los mejores talentos y nutrimos su desarrollo profesional con proyectos desafiantesCientifico de Datos Senior en BairesDevEstamos buscando un destacado Cientifico de Datos Senior para unirse al Equipo de Investigacion y Desarrollo ID de BairesDev Este profesional utilizara datos y tecnicas de aprendizaje automatico para ayudar al negocio a automatizar y escalar la toma de decisiones principalmente mediante la produccion de informes avanzados de analisis de datos y modelos basados en datos para inferir y predecir patronesActividades Principales Ayudar a mejorar el conocimiento de los datos y el entorno analitico general en toda la empresa Manejar datos estructurados y no estructurados utilizando SQL y otros lenguajes de programacion Realizar analisis avanzados de datos e informar de los resultados Contar la historia detras de los datos de una manera convincente para la gente de negocios Crear modelos predictivos y algoritmos de aprendizaje automatico Combinar modelos mediante el modelado de conjuntos Proponer soluciones y estrategias para los retos empresariales Ayudar a disenar y ejecutar experimentos para la comprobacion de hipotesis Participar activamente en las discusiones y decisiones relativas a todo el capitulo de Data Science  Data Engineer Colaborar con los gestores de productos de datos para crear productos de datos impresionantes Trabajar con la direccion para priorizar las necesidades de negocio y de informacion Ayudar a difundir una mentalidad basada en los datos y a mejorar la alfabetizacion de datos Ser un evangelizador de los datosQue Buscamos 3 anos de experiencia en Data Science  Data Engineer aprendizaje automatico IA estadistica y otras areas relacionadas Dominio de SQL Dominio de Python R u otro lenguaje de programacion importante Excelentes habilidades de comunicacion y capacidad para colaborar y establecer relaciones con usuarios no tecnicos Solidos conocimientos de probabilidad y estadistica incluido el diseno experimental el modelado predictivo la optimizacion y la inferencia causal Experiencia practica con el aprendizaje automatico como la clasificacion por regresion la agrupacion las redes neuronales la seleccion de caracteristicas la validacion cruzada la maldicion de la dimensionalidad el equilibrio entre sesgo y varianza la explicabilidad del modelo la PNL etcDeseable Experiencia en analisis o crecimiento de personas Experiencia con herramientas de visualizacion de datos Buena comprension de los retos de ingenieria para el despliegue de sistemas de aprendizaje automatico a la produccionQue Ofrecemos Trabajo 100 remoto Equipo de hardware para trabajar desde casa Horarios flexibles crea tu propio horario Licencia parental vacaciones y feriados remunerados Ambiente laboral diverso y multicultural Ambiente innovador con la estructura y recursos de una importante multinacional Excelente remuneracion bastante por encima del promedio en el mercado Aqui puedes crecer al ritmo de tu curva de aprendizajeNuestros empleados trabajan remotamente pero lo hacen dentro de una cultura confiable y solida que promueve diversidad y trabajo en equipo Para continuar siendo la compania de desarrollo de software lider en Latinoamerica queremos asegurarnos de que cada miembro de BairesDev consiga las mejores oportunidades de crecimiento y desarrollo profesional en un ambiente diverso acogedor e innovadorTodo miembro del equipo de BairesDev aporta algo unico a nuestra companiaQueremos escuchar tu historia Aplica ahora,remote,Colombia,Sin experiencia,Fulltime,Colombia
Trabajo Desde Casa Cientifico de Datos Senior  Ref 0960S RD,ABBATANGELO LIONEL,BairesDev esta orgullosa de ser la compania de mas rapido crecimiento en America Con personal en cinco continentes y clientes de talla mundial somos tan fuertes como los equipos multiculturales en el corazon de nuestra empresa lo sean Con el fin de entregar a nuestros clientes soluciones de la mas alta calidad con consistencia unicamente contratamos al 1 mas destacado entre los mejores talentos y nutrimos su desarrollo profesional con proyectos desafiantesCientifico de Datos Senior en BairesDevEstamos buscando un destacado Cientifico de Datos Senior para unirse al Equipo de Investigacion y Desarrollo ID de BairesDev Este profesional utilizara datos y tecnicas de aprendizaje automatico para ayudar al negocio a automatizar y escalar la toma de decisiones principalmente mediante la produccion de informes avanzados de analisis de datos y modelos basados en datos para inferir y predecir patronesActividades Principales Ayudar a mejorar el conocimiento de los datos y el entorno analitico general en toda la empresa Manejar datos estructurados y no estructurados utilizando SQL y otros lenguajes de programacion Realizar analisis avanzados de datos e informar de los resultados Contar la historia detras de los datos de una manera convincente para la gente de negocios Crear modelos predictivos y algoritmos de aprendizaje automatico Combinar modelos mediante el modelado de conjuntos Proponer soluciones y estrategias para los retos empresariales Ayudar a disenar y ejecutar experimentos para la comprobacion de hipotesis Participar activamente en las discusiones y decisiones relativas a todo el capitulo de Data Science  Data Engineer Colaborar con los gestores de productos de datos para crear productos de datos impresionantes Trabajar con la direccion para priorizar las necesidades de negocio y de informacion Ayudar a difundir una mentalidad basada en los datos y a mejorar la alfabetizacion de datos Ser un evangelizador de los datosQue Buscamos 3 anos de experiencia en Data Science  Data Engineer aprendizaje automatico IA estadistica y otras areas relacionadas Dominio de SQL Dominio de Python R u otro lenguaje de programacion importante Excelentes habilidades de comunicacion y capacidad para colaborar y establecer relaciones con usuarios no tecnicos Solidos conocimientos de probabilidad y estadistica incluido el diseno experimental el modelado predictivo la optimizacion y la inferencia causal Experiencia practica con el aprendizaje automatico como la clasificacion por regresion la agrupacion las redes neuronales la seleccion de caracteristicas la validacion cruzada la maldicion de la dimensionalidad el equilibrio entre sesgo y varianza la explicabilidad del modelo la PNL etcDeseable Experiencia en analisis o crecimiento de personas Experiencia con herramientas de visualizacion de datos Buena comprension de los retos de ingenieria para el despliegue de sistemas de aprendizaje automatico a la produccionQue Ofrecemos Trabajo 100 remoto Equipo de hardware para trabajar desde casa Horarios flexibles crea tu propio horario Licencia parental vacaciones y feriados remunerados Ambiente laboral diverso y multicultural Ambiente innovador con la estructura y recursos de una importante multinacional Excelente remuneracion bastante por encima del promedio en el mercado Aqui puedes crecer al ritmo de tu curva de aprendizajeNuestros empleados trabajan remotamente pero lo hacen dentro de una cultura confiable y solida que promueve diversidad y trabajo en equipo Para continuar siendo la compania de desarrollo de software lider en Latinoamerica queremos asegurarnos de que cada miembro de BairesDev consiga las mejores oportunidades de crecimiento y desarrollo profesional en un ambiente diverso acogedor e innovadorTodo miembro del equipo de BairesDev aporta algo unico a nuestra companiaQueremos escuchar tu historia Aplica ahora,remote,Medellín Metropolitan Area,Sin experiencia,Fulltime,Medellín Metropolitan Area
Trabajo Desde Casa Cientifico de Datos Senior  Ref 0960S RD,ABBATANGELO LIONEL,BairesDev esta orgullosa de ser la compania de mas rapido crecimiento en America Con personal en cinco continentes y clientes de talla mundial somos tan fuertes como los equipos multiculturales en el corazon de nuestra empresa lo sean Con el fin de entregar a nuestros clientes soluciones de la mas alta calidad con consistencia unicamente contratamos al 1 mas destacado entre los mejores talentos y nutrimos su desarrollo profesional con proyectos desafiantesCientifico de Datos Senior en BairesDevEstamos buscando un destacado Cientifico de Datos Senior para unirse al Equipo de Investigacion y Desarrollo ID de BairesDev Este profesional utilizara datos y tecnicas de aprendizaje automatico para ayudar al negocio a automatizar y escalar la toma de decisiones principalmente mediante la produccion de informes avanzados de analisis de datos y modelos basados en datos para inferir y predecir patronesActividades Principales Ayudar a mejorar el conocimiento de los datos y el entorno analitico general en toda la empresa Manejar datos estructurados y no estructurados utilizando SQL y otros lenguajes de programacion Realizar analisis avanzados de datos e informar de los resultados Contar la historia detras de los datos de una manera convincente para la gente de negocios Crear modelos predictivos y algoritmos de aprendizaje automatico Combinar modelos mediante el modelado de conjuntos Proponer soluciones y estrategias para los retos empresariales Ayudar a disenar y ejecutar experimentos para la comprobacion de hipotesis Participar activamente en las discusiones y decisiones relativas a todo el capitulo de Data Science  Data Engineer Colaborar con los gestores de productos de datos para crear productos de datos impresionantes Trabajar con la direccion para priorizar las necesidades de negocio y de informacion Ayudar a difundir una mentalidad basada en los datos y a mejorar la alfabetizacion de datos Ser un evangelizador de los datosQue Buscamos 3 anos de experiencia en Data Science  Data Engineer aprendizaje automatico IA estadistica y otras areas relacionadas Dominio de SQL Dominio de Python R u otro lenguaje de programacion importante Excelentes habilidades de comunicacion y capacidad para colaborar y establecer relaciones con usuarios no tecnicos Solidos conocimientos de probabilidad y estadistica incluido el diseno experimental el modelado predictivo la optimizacion y la inferencia causal Experiencia practica con el aprendizaje automatico como la clasificacion por regresion la agrupacion las redes neuronales la seleccion de caracteristicas la validacion cruzada la maldicion de la dimensionalidad el equilibrio entre sesgo y varianza la explicabilidad del modelo la PNL etcDeseable Experiencia en analisis o crecimiento de personas Experiencia con herramientas de visualizacion de datos Buena comprension de los retos de ingenieria para el despliegue de sistemas de aprendizaje automatico a la produccionQue Ofrecemos Trabajo 100 remoto Equipo de hardware para trabajar desde casa Horarios flexibles crea tu propio horario Licencia parental vacaciones y feriados remunerados Ambiente laboral diverso y multicultural Ambiente innovador con la estructura y recursos de una importante multinacional Excelente remuneracion bastante por encima del promedio en el mercado Aqui puedes crecer al ritmo de tu curva de aprendizajeNuestros empleados trabajan remotamente pero lo hacen dentro de una cultura confiable y solida que promueve diversidad y trabajo en equipo Para continuar siendo la compania de desarrollo de software lider en Latinoamerica queremos asegurarnos de que cada miembro de BairesDev consiga las mejores oportunidades de crecimiento y desarrollo profesional en un ambiente diverso acogedor e innovadorTodo miembro del equipo de BairesDev aporta algo unico a nuestra companiaQueremos escuchar tu historia Aplica ahora,remote,Colombia,Sin experiencia,Fulltime,Colombia
Trabajo Desde Casa Cientifico de Datos Senior  Ref 0960S RD,ABBATANGELO LIONEL,BairesDev esta orgullosa de ser la compania de mas rapido crecimiento en America Con personal en cinco continentes y clientes de talla mundial somos tan fuertes como los equipos multiculturales en el corazon de nuestra empresa lo sean Con el fin de entregar a nuestros clientes soluciones de la mas alta calidad con consistencia unicamente contratamos al 1 mas destacado entre los mejores talentos y nutrimos su desarrollo profesional con proyectos desafiantesCientifico de Datos Senior en BairesDevEstamos buscando un destacado Cientifico de Datos Senior para unirse al Equipo de Investigacion y Desarrollo ID de BairesDev Este profesional utilizara datos y tecnicas de aprendizaje automatico para ayudar al negocio a automatizar y escalar la toma de decisiones principalmente mediante la produccion de informes avanzados de analisis de datos y modelos basados en datos para inferir y predecir patronesActividades Principales Ayudar a mejorar el conocimiento de los datos y el entorno analitico general en toda la empresa Manejar datos estructurados y no estructurados utilizando SQL y otros lenguajes de programacion Realizar analisis avanzados de datos e informar de los resultados Contar la historia detras de los datos de una manera convincente para la gente de negocios Crear modelos predictivos y algoritmos de aprendizaje automatico Combinar modelos mediante el modelado de conjuntos Proponer soluciones y estrategias para los retos empresariales Ayudar a disenar y ejecutar experimentos para la comprobacion de hipotesis Participar activamente en las discusiones y decisiones relativas a todo el capitulo de Data Science  Data Engineer Colaborar con los gestores de productos de datos para crear productos de datos impresionantes Trabajar con la direccion para priorizar las necesidades de negocio y de informacion Ayudar a difundir una mentalidad basada en los datos y a mejorar la alfabetizacion de datos Ser un evangelizador de los datosQue Buscamos 3 anos de experiencia en Data Science  Data Engineer aprendizaje automatico IA estadistica y otras areas relacionadas Dominio de SQL Dominio de Python R u otro lenguaje de programacion importante Excelentes habilidades de comunicacion y capacidad para colaborar y establecer relaciones con usuarios no tecnicos Solidos conocimientos de probabilidad y estadistica incluido el diseno experimental el modelado predictivo la optimizacion y la inferencia causal Experiencia practica con el aprendizaje automatico como la clasificacion por regresion la agrupacion las redes neuronales la seleccion de caracteristicas la validacion cruzada la maldicion de la dimensionalidad el equilibrio entre sesgo y varianza la explicabilidad del modelo la PNL etcDeseable Experiencia en analisis o crecimiento de personas Experiencia con herramientas de visualizacion de datos Buena comprension de los retos de ingenieria para el despliegue de sistemas de aprendizaje automatico a la produccionQue Ofrecemos Trabajo 100 remoto Equipo de hardware para trabajar desde casa Horarios flexibles crea tu propio horario Licencia parental vacaciones y feriados remunerados Ambiente laboral diverso y multicultural Ambiente innovador con la estructura y recursos de una importante multinacional Excelente remuneracion bastante por encima del promedio en el mercado Aqui puedes crecer al ritmo de tu curva de aprendizajeNuestros empleados trabajan remotamente pero lo hacen dentro de una cultura confiable y solida que promueve diversidad y trabajo en equipo Para continuar siendo la compania de desarrollo de software lider en Latinoamerica queremos asegurarnos de que cada miembro de BairesDev consiga las mejores oportunidades de crecimiento y desarrollo profesional en un ambiente diverso acogedor e innovadorTodo miembro del equipo de BairesDev aporta algo unico a nuestra companiaQueremos escuchar tu historia Aplica ahora,remote,Colombia,Sin experiencia,Fulltime,Colombia
Trabajo Desde Casa Cientifico de Datos Senior  Ref 0960S RD,ABBATANGELO LIONEL,BairesDev esta orgullosa de ser la compania de mas rapido crecimiento en America Con personal en cinco continentes y clientes de talla mundial somos tan fuertes como los equipos multiculturales en el corazon de nuestra empresa lo sean Con el fin de entregar a nuestros clientes soluciones de la mas alta calidad con consistencia unicamente contratamos al 1 mas destacado entre los mejores talentos y nutrimos su desarrollo profesional con proyectos desafiantesCientifico de Datos Senior en BairesDevEstamos buscando un destacado Cientifico de Datos Senior para unirse al Equipo de Investigacion y Desarrollo ID de BairesDev Este profesional utilizara datos y tecnicas de aprendizaje automatico para ayudar al negocio a automatizar y escalar la toma de decisiones principalmente mediante la produccion de informes avanzados de analisis de datos y modelos basados en datos para inferir y predecir patronesActividades Principales Ayudar a mejorar el conocimiento de los datos y el entorno analitico general en toda la empresa Manejar datos estructurados y no estructurados utilizando SQL y otros lenguajes de programacion Realizar analisis avanzados de datos e informar de los resultados Contar la historia detras de los datos de una manera convincente para la gente de negocios Crear modelos predictivos y algoritmos de aprendizaje automatico Combinar modelos mediante el modelado de conjuntos Proponer soluciones y estrategias para los retos empresariales Ayudar a disenar y ejecutar experimentos para la comprobacion de hipotesis Participar activamente en las discusiones y decisiones relativas a todo el capitulo de Data Science  Data Engineer Colaborar con los gestores de productos de datos para crear productos de datos impresionantes Trabajar con la direccion para priorizar las necesidades de negocio y de informacion Ayudar a difundir una mentalidad basada en los datos y a mejorar la alfabetizacion de datos Ser un evangelizador de los datosQue Buscamos 3 anos de experiencia en Data Science  Data Engineer aprendizaje automatico IA estadistica y otras areas relacionadas Dominio de SQL Dominio de Python R u otro lenguaje de programacion importante Excelentes habilidades de comunicacion y capacidad para colaborar y establecer relaciones con usuarios no tecnicos Solidos conocimientos de probabilidad y estadistica incluido el diseno experimental el modelado predictivo la optimizacion y la inferencia causal Experiencia practica con el aprendizaje automatico como la clasificacion por regresion la agrupacion las redes neuronales la seleccion de caracteristicas la validacion cruzada la maldicion de la dimensionalidad el equilibrio entre sesgo y varianza la explicabilidad del modelo la PNL etcDeseable Experiencia en analisis o crecimiento de personas Experiencia con herramientas de visualizacion de datos Buena comprension de los retos de ingenieria para el despliegue de sistemas de aprendizaje automatico a la produccionQue Ofrecemos Trabajo 100 remoto Equipo de hardware para trabajar desde casa Horarios flexibles crea tu propio horario Licencia parental vacaciones y feriados remunerados Ambiente laboral diverso y multicultural Ambiente innovador con la estructura y recursos de una importante multinacional Excelente remuneracion bastante por encima del promedio en el mercado Aqui puedes crecer al ritmo de tu curva de aprendizajeNuestros empleados trabajan remotamente pero lo hacen dentro de una cultura confiable y solida que promueve diversidad y trabajo en equipo Para continuar siendo la compania de desarrollo de software lider en Latinoamerica queremos asegurarnos de que cada miembro de BairesDev consiga las mejores oportunidades de crecimiento y desarrollo profesional en un ambiente diverso acogedor e innovadorTodo miembro del equipo de BairesDev aporta algo unico a nuestra companiaQueremos escuchar tu historia Aplica ahora,remote,Colombia,Sin experiencia,Fulltime,Colombia
Data Lead,Multiplica Talent,Objetivo general Cuál es la razón de que exista esta posiciónIntegrar datos provenientes de diversas fuentes y formatos en el tiempo y forma requeridos los cuales habiliten a las áreas de negocio data science data insightsAlinear los alcances y objetivos para la construcción de modelos de datos análisis reportes dashboards y modelos de IA para las áreas transversales de Negocios DigitalesDeterminar y asignar recursos de personal presupuesto y herramientasComunicarse y colaborar con otros directivos y partes interesadasAlinear los objetivos del equipo con los de la empresa y evaluar el rendimiento de los ingenieros de datosEliminar los bloqueos organizativos y las interdependencias del equipoDeterminar las necesidades de formación y ofrecer oportunidades de entrenamiento y desarrolloPlanificar las capacidades futuras y contratar nuevos talentos para el equipoDirigir un equipo de ingenieros de datos proporcionando dirección en la construcción de los modelos de datosContribuir en todas las fases del ciclo de vida del desarrollo trabajando dentro de la metodología AgileResponsabilidades del puestoDiseñar desarrollar y verificar los estándares de AE y Gobierno de Datos para flujos de datos en la ingesta limpieza y transformación de los datos crudosDiseñar y desarrollar los flujos de datos entre las herramientas para que alimenten los modelos de datos requeridos para los análisis del negocioDesarrollar implementar y supervisar los procesos de control y métricas de calidad de los datos en los flujos para asegurar que los datos usados en los modelos son confiables íntegros y están completos en la arquitectura de datos bajo los estándares de AE y Gobierno de DatosDiseñar desarrollar y mantener los modelos de datos que habiliten y se adapten a las necesidades o requerimientos de información de las distintas áreas para los análisis de cada una de ellas bajo los estándares de AE y Gobierno de DatosMonitorear supervisar y evaluar el desempeño del data warehouse yo datalake con las herramientas disponibles en la arquitectura de datos así como los patrones en los datosImplementar mejoras o modificaciones en los modelos de datos habilitados que aseguren la continuidad operativa bajo los estándares y prácticas establecidas por AE y Gobierno de DatosDesarrollar y proponer arquitecturas  procesos  pipelines eficientes y óptimos para el tratamiento extracción integración ingesta consulta de grandes volúmenes de datos big data bajo los estándares establecidos por el área de AE y las áreas de gobierno de datosAsegurar la continuidad de los productos de datos y analíticos yo habiliten capacidades nuevas y diferenciales para construir y consolidar una cultura business data drivenAsistir a reuniones y resolver las consultas de otros equipos y partes interesadasGestionar los riesgos impedimentos y dependencias con otros equipos y unidadesDocumentar los procesos de arquitecturas  procesos  pipelines de DatosAsegurarse de que todos los procesos relevantes están en marcha y se siguenDefinir iterar y mejorar los KPI relevantes a nivel de equipo e individualRequirementsCalificaciones necesarias para ejecutar el puesto Perfil2 años de experiencia en el sector trabajando con grandes conjuntos de datos y herramientas de datos modernas5 años de experiencia en liderazgo técnico y gestión de personasConocimiento de un lenguaje informático científico Python y experto en SQLExperiencia teórica y aplicada en el diseño de bases de datos  almacenes de datosExperiencia en implementación de reglas de Calidad de Datos  Data Quality ManagementExperiencia en modelado de datos basado en Dominios de Datos  Data Domain ModelingExperiencia en implementación de reglas de Privacidad de Datos y Cumplimiento a regulación  Data Privacy  ComplianceExperiencia en diseño de base de datos y datawarehouse Database  DWH designDAMA o TDWI Metodología de Gobierno de datos DeseableIntegración de datos ETL Replica Data StreamsManejo de APIs web services SOAManejo de datos estructurados semi estructurados y no estructurados y Graph Databases DeseableAdministración de bases de datosComprender los informes de inteligencia empresarial Looker PowerBI Tableau DeseableExperiencia con diferentes Stack Tecnológicos Jira Asana Monday Trello KPIs OKRs agile Scrum SAFe Continuous Delivery CD Continuous Integration CI Qlik Catalog Oracle SQL SERVER PostgreSQL MongoDB Casandra Alteryx SQL Fivetran GCP PubSub Data Flow Qlik BigQuery DataProc DataPrep Looker Tableau Data Science Workbench Github PythonBenefitsPrestaciones de ley y Superiores MéxicoRemotoEquipoCultura flexible,remote,Mexico,Intermedio,Fulltime,Mexico
Científico de Datos Senior,Turing,Nan,remote,Brazil,0,0,Brazil
Científico de Datos Senior,Turing,En Turing ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EEUU con un salario en dólares Más de 400 empresas incluídas Johnson  Johnson Dell Disney Volvo etc han contratado a desarrolladores de TuringA fastgrowing company on a mission to disrupt the ecommerce industry with the help of advanced technology is looking for a Senior Data Scientist The selected candidate will be looking for all possible ways of improving the models and must understand the business needs first and then apply technology to solve those problems The company firmly believes that it is time for technology and data to help Merchants deliver the best pricing to their customers This is a nice opportunity for developers who are eager to work in a fastpaced startup environment and build scalable solutionsJob ResponsibilitiesCollaborate with ecommerce professionals and sales leadsWork on the design and development of machine learning models to deliver optimal pricing for merchantsDetermine and capture the features best suited to achieve accurate predictions around dynamic pricing and demand forecastingBuild and validate machine learning models and research relevant statistical methodsImprove and optimize code perform data analysis and put machine learning models into productionJob RequirementsBachelorsMasters degree in Engineering Computer Science or equivalent experienceAt least 3 years working professionally in the machine learning and data science fieldProven experience building and developing deep learning models and other key machine learning algorithmsPrior experience using cloud technologies to take machine learning algorithms from RD to productionExtensive experience with Python and other programming languages like Java and other objectoriented languagesSome experience with dynamic pricing or salesdemand forecasting or similarExperience in dynamic programming operations research andor reinforcement learning is nice to haveStrong analytical and data visualization skillsAbility to conduct and present to stakeholders an advanced Exploratory Data AnalysisStrong experience in feature engineering and machine learning modelingAbility to improve predictive performance by applying statistical and mathematical techniques when faced with limited dataExcellent communication and organization skills both towards the leadership and the data teamAbility to work autonomously and come up with innovative ideas,remote,Mexico,Intermedio,Fulltime,Mexico
Científico de Datos Senior,Turing,En Turing ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EEUU con un salario en dólares Más de 400 empresas incluídas Johnson  Johnson Dell Disney Volvo etc han contratado a desarrolladores de TuringA leading research and policy center founded by economists at top universities is looking for a Senior Data Scientist The selected candidate will be responsible for implementing projects using machine learning to solve social problems in developing countries The organization has developed partnerships with the national health agency and the NGO run by the first lady in its focus country Motivated candidates with core skills and interest in natural language models and data science for social good are suitable for this positionJob ResponsibilitiesDetermine beneficial data sources and automate the data collection processesCarry out data collection preprocessing and analysis to extract valuable insights Build models and algorithms to address business concernsImplement models and monitor their outcomes Utilize data visualization tools and techniques to present all relevant information Suggest strategies and changes for business challengesDevelop and conduct an AB testing framework to ensure model qualityJob RequirementsBachelorsMasters degree in Engineering Computer Science or equivalent experienceAt least 3 years of relevant experience as a Data ScientistStrong knowledge of machine learning natural language processing and statisticsProficiency in languages like R SQL and PythonHandson experience with business intelligence tools and data frameworksExcellent verbal and written English communication skills,remote,Mexico,Intermedio,Fulltime,Mexico
Científico de Datos Senior,Turing,En Turing ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EEUU con un salario en dólares Más de 400 empresas incluídas Johnson  Johnson Dell Disney Volvo etc han contratado a desarrolladores de TuringA fastgrowing company on a mission to disrupt the ecommerce industry with the help of advanced technology is looking for a Senior Data Scientist The selected candidate will be looking for all possible ways of improving the models and must understand the business needs first and then apply technology to solve those problems The company firmly believes that it is time for technology and data to help Merchants deliver the best pricing to their customers This is a nice opportunity for developers who are eager to work in a fastpaced startup environment and build scalable solutionsJob ResponsibilitiesCollaborate with ecommerce professionals and sales leadsWork on the design and development of machine learning models to deliver optimal pricing for merchantsDetermine and capture the features best suited to achieve accurate predictions around dynamic pricing and demand forecastingBuild and validate machine learning models and research relevant statistical methodsImprove and optimize code perform data analysis and put machine learning models into productionJob RequirementsBachelorsMasters degree in Engineering Computer Science or equivalent experienceAt least 3 years working professionally in the machine learning and data science fieldProven experience building and developing deep learning models and other key machine learning algorithmsPrior experience using cloud technologies to take machine learning algorithms from RD to productionExtensive experience with Python and other programming languages like Java and other objectoriented languagesSome experience with dynamic pricing or salesdemand forecasting or similarExperience in dynamic programming operations research andor reinforcement learning is nice to haveStrong analytical and data visualization skillsAbility to conduct and present to stakeholders an advanced Exploratory Data AnalysisStrong experience in feature engineering and machine learning modelingAbility to improve predictive performance by applying statistical and mathematical techniques when faced with limited dataExcellent communication and organization skills both towards the leadership and the data teamAbility to work autonomously and come up with innovative ideas,remote,Colombia,Intermedio,Fulltime,Colombia
Científico de Datos Senior,Turing,En Turing ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EEUU con un salario en dólares Más de 400 empresas incluídas Johnson  Johnson Dell Disney Volvo etc han contratado a desarrolladores de TuringA fastgrowing company on a mission to disrupt the ecommerce industry with the help of advanced technology is looking for a Senior Data Scientist The selected candidate will be looking for all possible ways of improving the models and must understand the business needs first and then apply technology to solve those problems The company firmly believes that it is time for technology and data to help Merchants deliver the best pricing to their customers This is a nice opportunity for developers who are eager to work in a fastpaced startup environment and build scalable solutionsJob ResponsibilitiesCollaborate with ecommerce professionals and sales leadsWork on the design and development of machine learning models to deliver optimal pricing for merchantsDetermine and capture the features best suited to achieve accurate predictions around dynamic pricing and demand forecastingBuild and validate machine learning models and research relevant statistical methodsImprove and optimize code perform data analysis and put machine learning models into productionJob RequirementsBachelorsMasters degree in Engineering Computer Science or equivalent experienceAt least 3 years working professionally in the machine learning and data science fieldProven experience building and developing deep learning models and other key machine learning algorithmsPrior experience using cloud technologies to take machine learning algorithms from RD to productionExtensive experience with Python and other programming languages like Java and other objectoriented languagesSome experience with dynamic pricing or salesdemand forecasting or similarExperience in dynamic programming operations research andor reinforcement learning is nice to haveStrong analytical and data visualization skillsAbility to conduct and present to stakeholders an advanced Exploratory Data AnalysisStrong experience in feature engineering and machine learning modelingAbility to improve predictive performance by applying statistical and mathematical techniques when faced with limited dataExcellent communication and organization skills both towards the leadership and the data teamAbility to work autonomously and come up with innovative ideas,remote,Argentina,Intermedio,Fulltime,Argentina
Científico de Datos Senior,Turing,En Turing ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EEUU con un salario en dólares Más de 400 empresas incluídas Johnson  Johnson Dell Disney Volvo etc han contratado a desarrolladores de TuringA leading research and policy center founded by economists at top universities is looking for a Senior Data Scientist The selected candidate will be responsible for implementing projects using machine learning to solve social problems in developing countries The organization has developed partnerships with the national health agency and the NGO run by the first lady in its focus country Motivated candidates with core skills and interest in natural language models and data science for social good are suitable for this positionJob ResponsibilitiesDetermine beneficial data sources and automate the data collection processesCarry out data collection preprocessing and analysis to extract valuable insights Build models and algorithms to address business concernsImplement models and monitor their outcomes Utilize data visualization tools and techniques to present all relevant information Suggest strategies and changes for business challengesDevelop and conduct an AB testing framework to ensure model qualityJob RequirementsBachelorsMasters degree in Engineering Computer Science or equivalent experienceAt least 3 years of relevant experience as a Data ScientistStrong knowledge of machine learning natural language processing and statisticsProficiency in languages like R SQL and PythonHandson experience with business intelligence tools and data frameworksExcellent verbal and written English communication skills,remote,Argentina,Intermedio,Fulltime,Argentina
Científico de Datos Senior,Turing,En Turing ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EEUU con un salario en dólares Más de 400 empresas incluídas Johnson  Johnson Dell Disney Volvo etc han contratado a desarrolladores de TuringA live learning platform that connects students and professionals with personalized instruction for any subject ondemand is looking for a Senior Machine Learning  Data Scientist The selected candidate will be in charge of creating prototypes that can be turned into realtime systems by engineering The USbased purposedriven company provides users with access to highquality instruction and is on a mission to change the way people learn through technology During their Series C round the company raised more than 100mn in funding This position requires 8 hours overlap with the ESTPST time zoneJob ResponsibilitiesCreate algorithmic systems that allow learners and teachers to be more personalizedCollaborate with product marketing operations and engineering to discover problems that have a big impact and turn them into objective functionsDesign experiments to rapidly establish causal relationshipsDrive initiatives from conception to completion with a measurable business impactUsing mathematical methods define inventive solutions to difficult challengesJob RequirementsBachelorsMasters degree in Engineering Computer Science or equivalent experienceAt least 35 years of relevant data science experienceExpertise in performing ML or statistical analyses software in R or PythonCompetency in statistical inference probability machine learning unsupervised and supervisedExperience with building recommender systems and implementation with a breadth of matching algorithms is nice to haveExperience with Bayesian reasoning NLP classification ranking systems is desirablePrior experience with production models ie postdeployment responsibilityExcellent communication skills,remote,Colombia,Intermedio,Fulltime,Colombia
